Clave de la entidad,Entidad,Clave de la escuela,Nombre de la escuela,Turno,Nombre del municipio,Nombre de la licalidad,Subsistema,Grado de marginación (CONAPO) de la localidad donde se ubica el CT,Sostenimiento,Total de alumnos en el ultimo grado (matrícula),Alumnos programados,Alumnos evaluados: L&C,Alumnos evaluados: M,Porcentaje (%) de alumnos evaluados: L&C,Porcentaje (%) de alumnos evaluados: M,¿Los alumnos evaluados son representativos de la totalidad de los estudiantes de la escuela?: L&C,¿Los alumnos evaluados son representativos de la totalidad de los estudiantes de la escuela?: M,Escuelas parecidas para comparación,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLLC:% de alumnos de la escuela en cada nivel de logro: I,NLLC:% de alumnos de la escuela en cada nivel de logro: II,NLLC:% de alumnos de la escuela en cada nivel de logro: III,NLLC:% de alumnos de la escuela en cada nivel de logro: IV,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLM:% de alumnos de la escuela en cada nivel de logro: I,NLM:% de alumnos de la escuela en cada nivel de logro: II,NLM:% de alumnos de la escuela en cada nivel de logro: III,NLM:% de alumnos de la escuela en cada nivel de logro: IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV
24,SAN LUIS POTOSI,24SBC0019B,PROF. JOSE JUAREZ BARBOSA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,PREECOS,MUY BAJO,PARTICULAR,175,76,67,72,88.2,94.7,SI,SI,Privadas de San Luis Potosí,19,20,26,2,28.4,29.9,38.8,3,29.7,29,31.3,10,33.9,28.1,28.7,9.2,49,18,5,0,68.1,25,6.9,0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24SBC0023O,E.P.C. NUM. 6 JESUS MARIA ISAIS REYES,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,PREECOS,MUY BAJO,PARTICULAR,31,29,28,29,96.6,100,SI,SI,Privadas de San Luis Potosí,12,8,8,0,42.9,28.6,28.6,0,29.7,29,31.3,10,33.9,28.1,28.7,9.2,25,3,1,0,86.2,10.3,3.4,0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DET0004L,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,OTRAS ESTATALES,MUY BAJO,ESTATAL,308,80,68,71,85,88.8,SI,SI,Estatales de San Luis Potosí,23,17,22,6,33.8,25,32.4,8.8,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,51,16,3,1,71.8,22.5,4.2,1.4,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DET0004L,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,OTRAS ESTATALES,MUY BAJO,ESTATAL,166,80,67,67,83.8,83.8,SI,SI,Estatales de San Luis Potosí,31,24,12,0,46.3,35.8,17.9,0,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,57,9,1,0,85.1,13.4,1.5,0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DPT0009M,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,CONALEP EDOS,MUY BAJO,ESTATAL,169,80,67,71,83.8,88.8,SI,SI,Estatales de San Luis Potosí,29,18,15,5,43.3,26.9,22.4,7.5,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,61,4,3,3,85.9,5.6,4.2,4.2,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DPT0009M,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,CONALEP EDOS,MUY BAJO,ESTATAL,132,80,59,60,73.8,75,SI,SI,Estatales de San Luis Potosí,37,13,9,0,62.7,22,15.3,0,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,59,1,0,0,98.3,1.7,0,0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DTA0196V,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 196,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,DGETA,MUY BAJO,FEDERAL,147,80,62,52,77.5,65,SI,SI,Federales de San Luis Potosí,28,22,11,1,45.2,35.5,17.7,1.6,32.4,31.6,29.9,6,33.9,28.1,28.7,9.2,40,6,5,1,76.9,11.5,9.6,1.9,62,27.5,8.7,1.8,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0001Z,COLEGIO DE BACHILLERES NUM. 01,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,COBACH,MUY BAJO,ESTATAL,379,80,73,76,91.3,95,SI,SI,Estatales de San Luis Potosí,8,20,32,13,11,27.4,43.8,17.8,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,36,26,8,6,47.4,34.2,10.5,7.9,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0001Z,COLEGIO DE BACHILLERES NUM. 01,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,COBACH,MUY BAJO,ESTATAL,300,80,72,73,90,91.3,SI,SI,Estatales de San Luis Potosí,15,16,30,11,20.8,22.2,41.7,15.3,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,41,21,10,1,56.2,28.8,13.7,1.4,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0025J,COLEGIO DE BACHILLERES NUM. 19,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,COBACH,MUY BAJO,ESTATAL,248,80,77,76,96.3,95,SI,SI,Estatales de San Luis Potosí,10,26,33,8,13,33.8,42.9,10.4,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,36,30,5,5,47.4,39.5,6.6,6.6,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
