Nombre de la escuela,Clave de la escuela,Clave de la entidad,Turno,Nombre del municipio,Subsistema,Grado de marginación (CONAPO) de la localidad donde se ubica el CT,Sostenimiento,Total de alumnos en el ultimo grado (matrícula),Alumnos programados,Alumnos evaluados: L&C,Alumnos evaluados: M,Porcentaje (%) de alumnos evaluados: L&C,Porcentaje (%) de alumnos evaluados: M,Escuelas parecidas para comparación,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLLC:% de alumnos de la escuela en cada nivel de logro: I,NLLC:% de alumnos de la escuela en cada nivel de logro: II,NLLC:% de alumnos de la escuela en cada nivel de logro: III,NLLC:% de alumnos de la escuela en cada nivel de logro: IV,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLM:% de alumnos de la escuela en cada nivel de logro: I,NLM:% de alumnos de la escuela en cada nivel de logro: II,NLM:% de alumnos de la escuela en cada nivel de logro: III,NLM:% de alumnos de la escuela en cada nivel de logro: IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV,Grupo
JOSE VASCONCELOS,24PBH0114D,24,1,1,9,4,3,96,80,39,37,48.8,46.3,3,18,10,8,3,46.2,25.6,20.5,7.7,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,27,8,1,1,73.0,21.6,2.7,2.7,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PREPARATORIA MOTOLINIA,24PBH0117A,24,0,0,9,4,3,101,80,73,72,91.3,90.0,3,1,18,28,26,1.4,24.7,38.4,35.6,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,11,26,24,11,15.3,36.1,33.3,15.3,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
BACHILLERATO UNIVERSIDAD CUAUHTEMOC SAN LUIS POTOSI,24PBH0123L,24,0,0,9,4,3,53,40,39,38,97.5,95.0,3,7,13,13,6,17.9,33.3,33.3,15.4,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,28,3,6,1,73.7,7.9,15.8,2.6,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
COLEGIO JOSE ANTONIO ALZATE Y RAMIREZ,24PBH0126I,24,0,0,9,4,3,13,13,11,13,84.6,100.0,3,0,0,6,5,0.0,0.0,54.5,45.5,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,1,2,5,5,7.7,15.4,38.5,38.5,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
COLEGIO MINERVA,24PBH3053A,24,0,0,9,4,3,65,40,37,37,92.5,92.5,3,2,7,22,6,5.4,18.9,59.5,16.2,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,9,9,12,7,24.3,24.3,32.4,18.9,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
INSTITUTO GABRIEL AGUIRRE,24PBH3054Z,24,0,0,9,4,3,15,15,14,14,93.3,93.3,3,4,4,6,0,28.6,28.6,42.9,0.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,11,2,1,0,78.6,14.3,7.1,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
"INSTITUTO HISPANO INGLES, A.C.",24PBH3260I,24,0,0,9,4,3,43,40,36,37,90.0,92.5,3,7,3,16,10,19.4,8.3,44.4,27.8,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,16,15,6,0,43.2,40.5,16.2,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
INSTITUTO ANDES DE SAN LUIS,24PBH3363E,24,0,0,9,4,3,42,40,35,38,87.5,95.0,3,2,8,17,8,5.7,22.9,48.6,22.9,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,11,16,7,4,28.9,42.1,18.4,10.5,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
UNIVERSIDAD DEL VALLE DE MEXICO,24PBH3403P,24,0,0,9,4,3,79,40,39,39,97.5,97.5,3,3,7,14,15,7.7,17.9,35.9,38.5,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,14,14,6,5,35.9,35.9,15.4,12.8,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
UNIVERSIDAD TECMILENIO CAMPUS SAN LUIS POTOSI,24PBH3642P,24,0,0,9,4,3,205,80,74,76,92.5,95.0,3,10,9,33,22,13.5,12.2,44.6,29.7,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,22,32,16,6,28.9,42.1,21.1,7.9,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
COLEGIO INTERNACIONAL TERRANOVA BACHILLERATO,24PBH3717P,24,0,0,9,4,3,19,19,16,16,84.2,84.2,3,0,3,9,4,0.0,18.8,56.3,25.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,6,4,3,3,37.5,25.0,18.8,18.8,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
MULTIVERSIDAD LATINOAMERICANA CAMPUS SAN LUIS POTOSI BACHILLERATO,24PBH3851V,24,0,1,9,3,3,21,21,19,19,90.5,90.5,3,4,3,10,2,21.1,15.8,52.6,10.5,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,15,2,2,0,78.9,10.5,10.5,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
INSTITUTO LOMAS DEL REAL,24PCB0002E,24,0,0,9,4,3,24,24,24,24,100.0,100.0,3,1,1,14,8,4.2,4.2,58.3,33.3,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,6,7,5,6,25.0,29.2,20.8,25.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
"COLEGIO JUAN DE DIOS PEZA, A.C.",24PCB0003D,24,0,0,9,4,3,56,40,38,39,95.0,97.5,3,4,7,13,14,10.5,18.4,34.2,36.8,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,21,10,4,4,53.8,25.6,10.3,10.3,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
INSTITUTO REAL DE SAN LUIS,24PCB0016H,24,0,0,9,4,3,26,26,22,23,84.6,88.5,3,0,4,8,10,0.0,18.2,36.4,45.5,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,5,4,5,9,21.7,17.4,21.7,39.1,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
INSTITUTO LA PAZ,24PCB0017G,24,0,0,9,4,3,19,19,17,17,89.5,89.5,3,0,6,6,5,0.0,35.3,35.3,29.4,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,5,10,2,0,29.4,58.8,11.8,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
CONCIENCIA BACHILLER,24PCB0021T,24,0,0,9,4,3,16,16,15,16,93.8,100.0,3,3,3,6,3,20.0,20.0,40.0,20.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,8,5,3,0,50.0,31.3,18.8,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
CARTAGO,24PCT0005R,24,1,0,9,4,3,81,80,70,71,87.5,88.8,3,31,23,15,1,44.3,32.9,21.4,1.4,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,63,8,0,0,88.7,11.3,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
BACHILLERATO TECNOLOGICO DE SAN LUIS POTOSI,24PCT0010C,24,1,0,9,4,3,17,17,14,14,82.4,82.4,3,4,4,4,2,28.6,28.6,28.6,14.3,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,3,7,2,2,21.4,50.0,14.3,14.3,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
EDUCATIVO TECNOLOGICO EMETA,24PCT0022H,24,0,0,9,4,3,18,18,15,15,83.3,83.3,3,8,4,3,0,53.3,26.7,20.0,0.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,12,3,0,0,80.0,20.0,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PROF. PEDRO VALLEJO,24SBC0002B,24,1,0,10,4,3,231,80,74,74,92.5,92.5,3,22,21,23,8,29.7,28.4,31.1,10.8,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,28,25,8,13,37.8,33.8,10.8,17.6,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
PROF. JESUS R ALDERETE,24SBC0003A,24,1,0,10,4,3,209,80,75,75,93.8,93.8,3,29,20,23,3,38.7,26.7,30.7,4.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,67,7,0,1,89.3,9.3,0.0,1.3,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
FRANCISCO MARTINEZ DE LA VEGA,24SBC0004Z,24,0,0,10,4,3,342,80,75,77,93.8,96.3,3,0,17,38,20,0.0,22.7,50.7,26.7,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,25,28,17,7,32.5,36.4,22.1,9.1,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
PROF. LIBRADO RIVERA,24SBC0005Z,24,1,1,10,4,3,108,80,75,74,93.8,92.5,3,39,20,13,3,52.0,26.7,17.3,4.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,61,11,1,1,82.4,14.9,1.4,1.4,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
RAFAEL NIETO COMPEAN,24SBC0010K,24,1,0,10,4,3,59,40,40,40,100.0,100.0,3,11,17,9,3,27.5,42.5,22.5,7.5,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,20,16,2,2,50.0,40.0,5.0,5.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PROFA. CELIA FERNANDEZ CAPETILLO,24SBC0011J,24,1,0,10,4,3,153,80,74,76,92.5,95.0,3,36,23,13,2,48.6,31.1,17.6,2.7,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,72,4,0,0,94.7,5.3,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
LIC. ANTONIO ROCHA CORDERO,24SBC0012I,24,1,0,10,4,3,47,40,35,35,87.5,87.5,3,7,15,10,3,20.0,42.9,28.6,8.6,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,25,7,3,0,71.4,20.0,8.6,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PONCIANO ARRIAGA,24SBC0013H,24,0,0,10,4,3,153,80,69,66,86.3,82.5,3,36,20,10,3,52.2,29.0,14.5,4.3,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,56,9,0,1,84.8,13.6,0.0,1.5,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
E.P.C. NUM. 1 BENITO SOLIS LUNA,24SBC0014G,24,1,0,10,4,3,22,22,18,19,81.8,86.4,3,7,3,7,1,38.9,16.7,38.9,5.6,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,13,6,0,0,68.4,31.6,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
E.P.C. NUM. 2 LUIS G. MEDELLIN NIÑO,24SBC0015F,24,0,0,10,4,3,69,40,32,35,80.0,87.5,3,10,15,6,1,31.3,46.9,18.8,3.1,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,30,5,0,0,85.7,14.3,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PROFA. MARGARITA CARDENAS DE RENTERIA,24SBC0020R,24,0,0,10,4,3,412,80,78,77,97.5,96.3,3,8,26,38,6,10.3,33.3,48.7,7.7,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,60,13,4,0,77.9,16.9,5.2,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
PROF. J. NATIVIDAD SANCHEZ,24SBC0021Q,24,1,0,10,4,3,162,80,67,67,83.8,83.8,3,25,26,12,4,37.3,38.8,17.9,6.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,57,9,1,0,85.1,13.4,1.5,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
E.P.C. NUM. 5 GRACIANO SANCHEZ ROMO,24SBC0022P,24,0,1,10,4,3,41,40,40,39,100.0,97.5,3,11,18,9,2,27.5,45.0,22.5,5.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,30,7,2,0,76.9,17.9,5.1,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PROF. JOSE CESAR CRUZ SANDOVAL,24SBC0026L,24,0,0,10,4,3,207,80,75,76,93.8,95.0,3,9,22,33,11,12.0,29.3,44.0,14.7,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,26,29,15,6,34.2,38.2,19.7,7.9,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
E.P.C. NUM. 19 CAP. MIGUEL CALDERA,24SBC0037R,24,1,0,10,2,3,24,24,20,20,83.3,83.3,3,15,4,1,0,75.0,20.0,5.0,0.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,20,0,0,0,100.0,0.0,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PROF. JUAN GREGORIO SALINAS FUENTES,24SBC0040E,24,1,0,10,4,3,149,80,69,67,86.3,83.8,3,35,18,15,1,50.7,26.1,21.7,1.4,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,58,6,2,1,86.6,9.0,3.0,1.5,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
E.P.C. NUM. 32 JUSTO SIERRA,24SBC0053I,24,0,1,10,2,3,30,30,28,28,93.3,93.3,3,19,5,3,1,67.9,17.9,10.7,3.6,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,27,1,0,0,96.4,3.6,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PROF. ANTONIO TRISTAN ALVAREZ,24SBC0055G,24,0,0,10,4,3,228,80,75,75,93.8,93.8,3,30,22,22,1,40.0,29.3,29.3,1.3,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,59,14,2,0,78.7,18.7,2.7,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
E.P.C. NUM. 22 RICARDO FLORES MAGON,24SBC0070Z,24,1,0,10,4,3,42,40,35,36,87.5,90.0,3,15,10,9,1,42.9,28.6,25.7,2.9,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,31,2,1,2,86.1,5.6,2.8,5.6,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PROFA. CELIA LECHON NOYOLA,24SBC0071Y,24,0,0,10,4,3,172,80,75,75,93.8,93.8,3,15,23,31,6,20.0,30.7,41.3,8.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,54,16,3,2,72.0,21.3,4.0,2.7,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
NUEVA GENERACION,24SBC0076T,24,0,0,10,2,3,42,40,35,35,87.5,87.5,3,22,7,6,0,62.9,20.0,17.1,0.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,31,4,0,0,88.6,11.4,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
PREPARATORIA MUNICIPAL EL SAUCITO,24SBC0081E,24,0,0,10,4,3,150,80,70,75,87.5,93.8,3,29,26,13,2,41.4,37.1,18.6,2.9,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,71,4,0,0,94.7,5.3,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
SOLIDARIDAD,24SBC0087Z,24,0,0,10,4,3,81,80,79,79,98.8,98.8,3,15,28,28,8,19.0,35.4,35.4,10.1,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,42,28,6,3,53.2,35.4,7.6,3.8,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
PROF. RAFAEL TURRUBIARTES MACIAS,24SBC0088Y,24,0,0,10,4,3,64,40,37,37,92.5,92.5,3,17,9,9,2,45.9,24.3,24.3,5.4,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,29,7,1,0,78.4,18.9,2.7,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
TOMAS MIRANDA LEURA,24SBC0089X,24,0,1,10,4,3,80,80,75,75,93.8,93.8,3,41,26,7,1,54.7,34.7,9.3,1.3,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,65,7,3,0,86.7,9.3,4.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
FLORENCIO SALAZAR MARTINEZ,24SBC0092K,24,1,1,10,3,3,21,21,21,21,100.0,100.0,3,14,5,1,1,66.7,23.8,4.8,4.8,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,20,1,0,0,95.2,4.8,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
NICOLAS LEON,24SBC1079X,24,1,0,10,2,3,24,24,19,19,79.2,79.2,3,11,6,2,0,57.9,31.6,10.5,0.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,18,1,0,0,94.7,5.3,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
MIGUEL DE CERVANTES SAAVEDRA,24SBC1093Q,24,1,0,10,4,3,18,18,16,17,88.9,94.4,3,10,5,1,0,62.5,31.3,6.3,0.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,15,2,0,0,88.2,11.8,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
