ENTIDAD,NOMBRE DE LA ESCUELA,TURNO,NOMBRE DEL MUNICIPIO,NOMBRE DE LA LOCALIDAD,ALUMNOS EVALUADOS - LENGUAJE Y COMUNICACIÓN,ALUMNOS EVALUADOS - MATEMÁTICAS,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - LENGUAJE Y COMUNICACIÓN,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - MATEMÁTICAS,NIVEL LG - PORCENTAJE ALUMNOS - I,NIVEL LG - PORCENTAJE ALUMNOS - II,NIVEL LG - PORCENTAJE ALUMNOS - III,NIVEL LG - PORCENTAJE ALUMNOS - IV,NIVEL MATE - PORCENTAJE ALUMNOS - I,NIVEL MATE - PORCENTAJE ALUMNOS -  II,NIVEL MATE - PORCENTAJE ALUMNOS - III,NIVEL MATE - PORCENTAJE ALUMNOS - IV,grupos
SAN LUIS POTOSI,PREPARATORIA DE LA UNIVERSIDAD MARISTA DE SAN LUIS POTOSI,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,20,19,SI,SI,15.0,20.0,55.0,10.0,57.9,26.3,10.5,5.3,1
SAN LUIS POTOSI,"COLEGIO HISPANO MEXICANO, A.C.",MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,31,33,SI,SI,6.5,29.0,35.5,29.0,51.5,30.3,12.1,6.1,1
SAN LUIS POTOSI,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,64,70,SI,SI,17.2,32.8,45.3,4.7,61.4,18.6,14.3,5.7,1
SAN LUIS POTOSI,SOLIDARIDAD,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,79,79,SI,SI,19.0,35.4,35.4,10.1,53.2,35.4,7.6,3.8,1
SAN LUIS POTOSI,RAFAEL NIETO COMPEAN,NOCTURNO,SAN LUIS POTOSI,SAN LUIS POTOSI,40,40,SI,SI,27.5,42.5,22.5,7.5,50.0,40.0,5.0,5.0,1
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 17,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,72,74,SI,SI,29.2,20.8,43.1,6.9,63.5,25.7,6.8,4.1,1
SAN LUIS POTOSI,COLEGIO SAN LUIS REY DE FRANCIA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,77,78,SI,SI,16.9,33.8,40.3,9.1,64.1,24.4,10.3,1.3,1
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 01,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,73,76,SI,SI,11.0,27.4,43.8,17.8,47.4,34.2,10.5,7.9,1
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 19,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,77,76,SI,SI,13.0,33.8,42.9,10.4,47.4,39.5,6.6,6.6,1
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 01,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,72,73,SI,SI,20.8,22.2,41.7,15.3,56.2,28.8,13.7,1.4,1
SAN LUIS POTOSI,PROF. PEDRO VALLEJO,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,74,74,SI,SI,29.7,28.4,31.1,10.8,37.8,33.8,10.8,17.6,1
SAN LUIS POTOSI,COLEGIO VALLARTA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,14,15,SI,SI,28.6,21.4,35.7,14.3,80.0,20.0,0.0,0.0,2
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 25,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,73,64,SI,SI,24.7,31.5,35.6,8.2,68.8,23.4,7.8,0.0,2
SAN LUIS POTOSI,"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP III NUEVO PROGRE",MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,77,76,SI,SI,29.9,33.8,29.9,6.5,64.5,22.4,5.3,7.9,2
SAN LUIS POTOSI,FRAY BARTOLOME DE LAS CASAS,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,36,36,SI,SI,27.8,33.3,33.3,5.6,80.6,13.9,5.6,0.0,2
SAN LUIS POTOSI,INSTITUTO TECNOLOGICO PROYECCION EDUCATIVA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,10,10,SI,SI,10.0,80.0,10.0,0.0,100.0,0.0,0.0,0.0,2
SAN LUIS POTOSI,LIC. ANTONIO ROCHA CORDERO,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,35,35,SI,SI,20.0,42.9,28.6,8.6,71.4,20.0,8.6,0.0,2
SAN LUIS POTOSI,RAFAEL NIETO,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,33,33,SI,SI,33.3,30.3,30.3,6.1,81.8,12.1,6.1,0.0,2
SAN LUIS POTOSI,"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP I LOMAS MEZQUITA",MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,75,75,SI,SI,30.7,38.7,28.0,2.7,61.3,22.7,13.3,2.7,2
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 25,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,70,70,SI,SI,22.9,42.9,31.4,2.9,65.7,27.1,7.1,0.0,2
SAN LUIS POTOSI,E.P.C. NUM. 1 BENITO SOLIS LUNA,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,18,19,SI,SI,38.9,16.7,38.9,5.6,68.4,31.6,0.0,0.0,2
SAN LUIS POTOSI,MULTIVERSIDAD LATINOAMERICANA CAMPUS SAN LUIS POTOSI BACHILLERATO,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,LOS GOMEZ,19,19,SI,SI,21.1,15.8,52.6,10.5,78.9,10.5,10.5,0.0,2
SAN LUIS POTOSI,INSTITUTO BENEMERITO DE LAS AMERICAS,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,26,25,SI,SI,46.2,11.5,34.6,7.7,76.0,16.0,8.0,0.0,2
SAN LUIS POTOSI,"INSTITUTO ALFRED NOBEL DEL CENTRO, S.C.",MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,19,19,SI,SI,31.6,36.8,21.1,10.5,73.7,21.1,5.3,0.0,2
SAN LUIS POTOSI,PROF. ANTONIO TRISTAN ALVAREZ,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,75,75,SI,SI,40.0,29.3,29.3,1.3,78.7,18.7,2.7,0.0,2
SAN LUIS POTOSI,PROFA. CELIA LECHON NOYOLA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,75,75,SI,SI,20.0,30.7,41.3,8.0,72.0,21.3,4.0,2.7,2
SAN LUIS POTOSI,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD S.L.P. IX BOCAS,MATUTINO,SAN LUIS POTOSI,BOCAS (ESTACION BOCAS),76,76,SI,SI,30.3,36.8,26.3,6.6,68.4,26.3,3.9,1.3,2
SAN LUIS POTOSI,BACHILLERATO UNIVERSIDAD CUAUHTEMOC SAN LUIS POTOSI,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,39,38,SI,SI,17.9,33.3,33.3,15.4,73.7,7.9,15.8,2.6,2
SAN LUIS POTOSI,E.P.C. NUM. 5 GRACIANO SANCHEZ ROMO,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,40,39,SI,SI,27.5,45.0,22.5,5.0,76.9,17.9,5.1,0.0,2
SAN LUIS POTOSI,CENTRO EDUCATIVO MONTESSORI,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,11,13,SI,SI,18.2,27.3,36.4,18.2,76.9,15.4,7.7,0.0,2
SAN LUIS POTOSI,PROF. JOSE JUAREZ BARBOSA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,67,72,SI,SI,28.4,29.9,38.8,3.0,68.1,25.0,6.9,0.0,2
SAN LUIS POTOSI,INSTITUTO DE EDUCACION PRODUCTIVA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,12,10,SI,SI,33.3,25.0,41.7,0.0,90.0,10.0,0.0,0.0,2
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 26,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,71,70,SI,SI,28.2,26.8,40.8,4.2,68.6,22.9,5.7,2.9,2
SAN LUIS POTOSI,JUANA DE ASBAJE,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,14,14,SI,SI,21.4,21.4,42.9,14.3,71.4,21.4,7.1,0.0,2
SAN LUIS POTOSI,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,71,71,SI,SI,26.8,31.0,32.4,9.9,63.4,21.1,12.7,2.8,2
SAN LUIS POTOSI,INSTITUTO JUSTO SIERRA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,11,12,SI,SI,27.3,27.3,45.5,0.0,100.0,0.0,0.0,0.0,2
SAN LUIS POTOSI,ESCUELA PREPARATORIA SAN LUIS DE LA PATRIA,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,12,11,SI,SI,25.0,16.7,58.3,0.0,72.7,18.2,9.1,0.0,2
SAN LUIS POTOSI,INSTITUTO ATENEA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,12,12,SI,SI,41.7,8.3,41.7,8.3,66.7,25.0,8.3,0.0,2
SAN LUIS POTOSI,PROFA. MARGARITA CARDENAS DE RENTERIA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,78,77,SI,SI,10.3,33.3,48.7,7.7,77.9,16.9,5.2,0.0,2
