Nombre de la escuela,Clave de la escuela,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV
FRAY BARTOLOME DE LAS CASAS,24PBH0058B,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO JUSTO SIERRA,24PBH0070X,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO CULTURAL LICEO DEL POTOSI,24PBH0074T,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO JUVENTUD,24PBH0075S,29.7,29,31.3,10,63.6,24.6,7.6,4.3
ESCUELA PREPARATORIA REAL DEL POTOSI,24PBH0079O,29.7,29,31.3,10,63.6,24.6,7.6,4.3
RAFAEL NIETO,24PBH0080D,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO BENEMERITO DE LAS AMERICAS,24PBH0081C,29.7,29,31.3,10,63.6,24.6,7.6,4.3
CENTRO EDUCATIVO MONTESSORI,24PBH0083A,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"COLEGIO ALMA PATRIA DE SAN LUIS, A.C.",24PBH0084Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO RICARDO FLORES MAGON,24PBH0085Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
ESCUELA PREPARATORIA SAN LUIS DE LA PATRIA,24PBH0097D,29.7,29,31.3,10,63.6,24.6,7.6,4.3
UNIVERSIDAD DEL CENTRO DE MEXICO,24PBH0101Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
JUANA DE ASBAJE,24PBH0102Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PREPARATORIA DE LA UNIVERSIDAD MARISTA DE SAN LUIS POTOSI,24PBH0111G,29.7,29,31.3,10,63.6,24.6,7.6,4.3
